Dependency=State	Option=East North Central	Option=East South Central	Option=Middle Atlantic	Option=Mountain	Option=New England	Option=Pacific	Option=South Atlantic	Option=West North Central	Option=West South Central
CT	0	0	0	0	1	0	0	0	0
MA	0	0	0	0	1	0	0	0	0
ME	0	0	0	0	1	0	0	0	0
NH	0	0	0	0	1	0	0	0	0
RI	0	0	0	0	1	0	0	0	0
VT	0	0	0	0	1	0	0	0	0
NJ	0	0	1	0	0	0	0	0	0
NY	0	0	1	0	0	0	0	0	0
PA	0	0	1	0	0	0	0	0	0
IL	1	0	0	0	0	0	0	0	0
IN	1	0	0	0	0	0	0	0	0
MI	1	0	0	0	0	0	0	0	0
OH	1	0	0	0	0	0	0	0	0
WI	1	0	0	0	0	0	0	0	0
IA	0	0	0	0	0	0	0	1	0
KS	0	0	0	0	0	0	0	1	0
MN	0	0	0	0	0	0	0	1	0
MO	0	0	0	0	0	0	0	1	0
ND	0	0	0	0	0	0	0	1	0
NE	0	0	0	0	0	0	0	1	0
SD	0	0	0	0	0	0	0	1	0
DC	0	0	0	0	0	0	1	0	0
DE	0	0	0	0	0	0	1	0	0
FL	0	0	0	0	0	0	1	0	0
GA	0	0	0	0	0	0	1	0	0
MD	0	0	0	0	0	0	1	0	0
NC	0	0	0	0	0	0	1	0	0
SC	0	0	0	0	0	0	1	0	0
VA	0	0	0	0	0	0	1	0	0
WV	0	0	0	0	0	0	1	0	0
AL	0	1	0	0	0	0	0	0	0
KY	0	1	0	0	0	0	0	0	0
MS	0	1	0	0	0	0	0	0	0
TN	0	1	0	0	0	0	0	0	0
AR	0	0	0	0	0	0	0	0	1
LA	0	0	0	0	0	0	0	0	1
OK	0	0	0	0	0	0	0	0	1
TX	0	0	0	0	0	0	0	0	1
AZ	0	0	0	1	0	0	0	0	0
CO	0	0	0	1	0	0	0	0	0
ID	0	0	0	1	0	0	0	0	0
MT	0	0	0	1	0	0	0	0	0
NM	0	0	0	1	0	0	0	0	0
NV	0	0	0	1	0	0	0	0	0
UT	0	0	0	1	0	0	0	0	0
WY	0	0	0	1	0	0	0	0	0
CA	0	0	0	0	0	1	0	0	0
OR	0	0	0	0	0	1	0	0	0
WA	0	0	0	0	0	1	0	0	0
