Dependency=State	Option=CR02	Option=CR03	Option=CR04	Option=CR05	Option=CR06	Option=CR07	Option=CR08	Option=CR09	Option=CR10	Option=CR11
AL	0	0	0	0	0	0	0	1	0	0
AR	0	0	0	0	0	0	0	1	0	0
AZ	0	0	0	0	0	0	0	0	1	0
CA	0	0	0	0	0	0	0	0	0	1
CO	0	0	0	1	0	0	0	0	0	0
CT	0	1	0	0	0	0	0	0	0	0
DC	0	0	0	0	0	0	1	0	0	0
DE	0	0	0	0	0	0	1	0	0	0
FL	0	0	0	0	0	0	0	1	0	0
GA	0	0	0	0	0	0	0	1	0	0
IA	1	0	0	0	0	0	0	0	0	0
ID	0	0	0	1	0	0	0	0	0	0
IL	0	0	1	0	0	0	0	0	0	0
IN	0	0	1	0	0	0	0	0	0	0
KS	0	0	0	0	0	0	1	0	0	0
KY	0	0	0	0	0	0	1	0	0	0
LA	0	0	0	0	0	0	0	1	0	0
MA	0	1	0	0	0	0	0	0	0	0
MD	0	0	0	0	0	0	1	0	0	0
ME	0	1	0	0	0	0	0	0	0	0
MI	0	0	1	0	0	0	0	0	0	0
MN	1	0	0	0	0	0	0	0	0	0
MO	0	0	0	0	0	0	1	0	0	0
MS	0	0	0	0	0	0	0	1	0	0
MT	0	0	0	1	0	0	0	0	0	0
NC	0	0	0	0	0	0	0	1	0	0
ND	1	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	0	0	1	0	0	0
NH	0	1	0	0	0	0	0	0	0	0
NJ	0	0	0	0	0	1	0	0	0	0
NM	0	0	0	0	0	0	0	0	1	0
NV	0	0	0	0	0	0	0	0	1	0
NY	0	0	0	0	0	1	0	0	0	0
OH	0	0	1	0	0	0	0	0	0	0
OK	0	0	0	0	0	0	0	1	0	0
OR	0	0	0	0	1	0	0	0	0	0
PA	0	0	0	0	0	1	0	0	0	0
RI	0	1	0	0	0	0	0	0	0	0
SC	0	0	0	0	0	0	0	1	0	0
SD	1	0	0	0	0	0	0	0	0	0
TN	0	0	0	0	0	0	1	0	0	0
TX	0	0	0	0	0	0	0	1	0	0
UT	0	0	0	1	0	0	0	0	0	0
VA	0	0	0	0	0	0	1	0	0	0
VT	0	1	0	0	0	0	0	0	0	0
WA	0	0	0	0	1	0	0	0	0	0
WI	1	0	0	0	0	0	0	0	0	0
WV	0	0	0	0	0	0	1	0	0	0
WY	0	0	0	1	0	0	0	0	0	0
